bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
16.11.2012	8	9	6	3
19.07.2013	5	5	0	5
23.11.2012	8	7	5	2
16.04.2013	5	5	1	4
13.03.2013	8	7	2	5
07.02.2013	9	9	3	6
07.01.2013	6	5	2	3
16.11.2012	8	4	4	0
13.03.2013	8	7	3	4
27.12.2012	7	7	3	4
16.11.2012	8	9	6	3
07.02.2013	3	3	1	2
27.12.2012	7	7	3	4
16.11.2012	6	5	1	4
02.07.2012	6	6	3	3
04.06.2012	7	7	3	4
02.05.2012	6	6	4	2
16.04.2012	6	6	2	4
23.03.2012	8	8	5	3
31.01.2012	11	11	7	4
27.12.2011	8	8	4	4
19.12.2011	13	11	7	4
30.07.2012	8	8	4	4
15.06.2012	4	4	0	0
01.05.2012	9	11	6	5
23.03.2012	8	8	4	4
05.03.2012	6	6	3	3
31.01.2012	3	3	2	1
10.01.2012	5	5	3	2
19.12.2011	8	8	4	4
