bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
29.10.2019	16	16	10	0
03.10.2019	17	17	5	4
10.09.2019	15	15	8	0
18.08.2019	11	11	7	0
25.07.2019	14	11	6	4
20.04.2020	2	2	1	0
01.04.2020	4	4	0	0
14.02.2020	9	9	5	0
24.01.2020	9	9	4	0
31.12.2019	14	14	5	0
05.12.2019	15	15	9	4
27.10.2019	18	18	7	0
03.10.2019	12	12	5	4
10.09.2019	18	18	7	0
17.08.2019	16	16	9	0
25.07.2019	14	14	6	4
28.05.2020	3	3	0	0
05.05.2020	5	5	3	0
14.04.2020	8	8	4	0
25.03.2020	4	4	2	0
28.02.2020	11	11	5	0
01.02.2020	13	13	9	0
12.01.2020	8	8	6	0
19.12.2019	14	14	7	4
27.11.2019	10	10	6	0
04.11.2019	16	16	10	0
11.10.2019	12	12	9	3
17.09.2019	16	16	5	0
26.08.2019	15	15	4	0
02.08.2019	18	18	7	4
27.03.2020	3	3	0	0
05.03.2020	8	8	2	0
23.01.2020	7	7	4	3
31.12.2019	14	14	0	0
10.12.2019	10	10	4	4
04.11.2019	9	9	2	0
14.10.2019	14	14	5	4
23.09.2019	16	16	9	0
28.08.2019	7	7	4	0
25.07.2019	15	15	8	4
30.08.2020	14	14	4	5
07.08.2020	11	11	8	3
10.10.2020	4	4	0	0
21.09.2020	11	11	5	5
30.08.2020	10	10	4	5
07.08.2020	10	10	6	4
12.10.2020	10	10	0	0
18.09.2020	12	12	4	5
08.08.2020	10	10	8	2
15.10.2020	6	6	0	0
09.09.2020	7	7	4	0
07.08.2020	16	16	8	5
