bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
10.04.2012	6	6	6	0
13.03.2012	8	8	4	4
22.02.2012	7	7	7	0
07.02.2012	7	7	3	4
21.12.2011	5	6	1	5
21.11.2011	6	11	6	5
25.10.2011	13	13	6	7
26.09.2011	5	10	6	4
10.01.2012	6	8	7	1
26.06.2012	10	10	6	4
30.05.2012	3	3	2	1
02.05.2012	4	8	5	3
13.03.2012	6	6	4	2
05.03.2012	1	1	1	0
22.02.2012	8	8	7	1
24.01.2012	7	7	0	7
16.12.2011	9	8	8	0
21.11.2011	6	10	6	4
25.10.2011	10	9	4	5
26.09.2011	7	7	4	3
24.01.2012	7	7	7	0
05.04.2013	3	6	4	2
17.01.2013	6	5	4	1
19.10.2012	7	4	2	2
27.08.2012	4	4	2	2
28.03.2012	9	9	6	3
07.02.2012	7	7	5	2
16.01.2012	6	10	6	4
05.12.2011	6	6	2	4
14.11.2011	4	8	3	5
26.09.2011	5	5	2	3
08.09.2011	8	12	6	6
15.08.2011	13	13	7	6
19.07.2011	5	16	8	8
27.06.2011	5	3	1	2
07.06.2011	6	12	7	5
03.01.2012	3	3	2	1
11.12.2011	6	8	8	0
25.10.2011	8	14	5	9
26.09.2011	7	11	7	4
15.08.2011	15	11	7	4
08.06.2011	11	6	1	5
10.05.2011	6	12	7	5
05.12.2011	4	4	0	4
13.03.2012	4	4	2	2
24.01.2012	6	4	3	1
03.01.2012	8	8	7	1
21.11.2011	6	6	2	4
30.10.2011	6	8	5	3
04.10.2011	7	5	5	0
12.09.2011	6	6	4	2
23.08.2011	11	10	8	2
02.08.2011	5	6	3	3
04.07.2011	7	6	3	3
08.06.2011	3	3	2	1
10.05.2011	7	15	7	8
12.07.2013	5	5	3	2
10.05.2013	7	12	6	6
28.02.2013	6	7	4	3
31.01.2013	4	5	2	3
03.01.2013	8	8	4	4
13.12.2012	4	5	4	1
09.10.2012	12	9	7	2
17.09.2012	6	6	6	0
07.03.2013	8	8	0	0
29.11.2012	7	6	5	1
26.11.2012	7	5	2	3
05.10.2012	6	3	1	2
20.08.2012	11	11	7	4
20.07.2012	6	6	5	1
19.06.2012	10	10	8	2
29.05.2012	11	11	7	4
26.11.2012	7	6	6	0
20.12.2012	6	9	5	4
31.10.2012	7	8	4	4
17.09.2012	8	7	6	1
13.08.2012	7	7	3	4
23.07.2012	6	6	2	4
26.06.2012	7	7	3	4
04.06.2012	6	6	2	4
23.11.2012	5	4	3	1
09.10.2012	8	5	5	0
17.09.2012	8	3	3	0
27.08.2012	9	9	4	5
20.07.2012	6	6	12	0
09.07.2012	12	12	6	6
04.06.2012	6	6	6	0
22.02.2013	5	5	0	0
31.01.2013	7	4	0	4
07.01.2013	5	2	2	0
13.12.2012	8	8	0	8
06.12.2012	8	8	4	4
16.11.2012	12	13	5	8
19.10.2012	12	12	6	6
17.09.2012	8	8	3	0
27.12.2012	4	4	2	2
06.12.2012	4	4	4	0
16.11.2012	14	8	8	0
09.10.2012	8	11	7	4
13.08.2012	8	8	3	5
09.07.2012	16	16	18	14
24.01.2013	10	8	8	0
13.12.2012	8	7	6	1
16.11.2012	3	3	3	0
08.11.2012	5	5	1	4
08.11.2012	6	7	5	2
19.10.2012	14	13	5	8
03.09.2012	8	8	6	2
20.08.2012	8	8	3	5
30.07.2012	11	11	5	6
23.07.2012	7	7	2	5
09.07.2012	15	16	9	7
31.10.2012	6	6	4	2
17.09.2012	8	4	4	0
26.06.2012	8	8	5	3
10.06.2012	7	7	6	1
10.04.2012	5	5	2	3
23.03.2012	5	5	2	3
05.03.2012	13	13	6	7
22.02.2012	6	6	2	4
24.01.2012	11	11	6	5
27.12.2011	9	12	8	3
12.07.2013	4	6	2	4
14.06.2013	5	5	5	0
17.05.2013	14	14	5	9
16.04.2013	12	12	0	0
21.03.2013	6	8	8	0
31.01.2013	15	15	7	8
03.01.2013	5	8	4	4
13.02.2014	6	9	3	6
