bitrh_dates,pups_born,pups_beforeW,weaned_f,weaned_m
14.12.2008,8,8,6,2
15.11.2008,8,8,6,2
27.10.2008,10,10,4,0
25.08.2008,20,12,12,0
02.08.2008,12,12,12,0
13.07.2008,14,14,14,0
22.06.2008,8,8,8,0
13.12.2008,1,1,0,1
03.11.2008,7,7,2,0
16.10.2008,9,9,5,0
01.09.2008,16,16,10,0
15.07.2008,9,9,9,0
21.06.2008,8,8,8,0
03.06.2008,4,4,4,0
16.11.2008,4,4,4,0
28.10.2008,9,9,5,2
22.09.2008,8,8,2,6
05.08.2008,16,16,6,10
16.07.2008,9,9,9,0
28.06.2008,5,5,5,0
16.11.2008,11,11,5,6
05.10.2008,14,13,9,4
04.09.2008,16,16,9,0
10.08.2008,12,12,7,5
27.07.2008,5,5,5,0
15.06.2008,6,6,6,0
13.12.2008,5,5,5,0
05.11.2008,13,2,2,0
15.09.2008,4,4,4,0
20.08.2008,16,8,8,0
01.08.2008,6,6,6,0
04.07.2008,11,11,11,0
03.06.2008,3,3,3,0
22.04.2008,10,10,4,6
05.05.2008,3,3,2,1
05.05.2008,4,4,3,1
05.05.2008,3,3,2,1
30.04.2008,7,7,4,2
28.04.2008,8,8,1,7
23.04.2008,4,4,2,2
23.04.2008,7,7,2,5
17.04.2008,8,0,0,0
17.04.2008,8,8,1,7
17.06.2008,4,4,1,3
25.06.2008,6,6,3,3
25.06.2008,5,5,3,2
25.06.2008,5,5,2,3
25.06.2008,7,7,3,4
25.06.2008,5,5,3,2
25.06.2008,11,9,2,7
10.07.2008,4,4,3,1
08.07.2008,11,11,6,5
08.07.2008,14,13,7,6
08.07.2008,13,13,6,7
08.07.2008,8,8,2,6
08.07.2008,11,10,6,4
30.06.2008,9,9,6,3
10.06.2008,13,13,8,5
04.06.2008,3,3,0,0
04.06.2008,7,8,5,3
09.03.2008,2,2,1,1
09.03.2008,7,7,4,3
11.03.2008,5,5,4,1
11.03.2008,11,11,6,5
02.03.2008,4,4,2,2
04.03.2008,5,5,2,3
04.03.2008,3,3,1,2
31.03.2008,5,5,4,1
03.04.2008,6,5,4,1
18.01.2008,11,0,0,0
31.03.2008,9,9,4,5
28.01.2008,11,0,0,0
01.04.2008,8,8,5,3
03.05.2008,9,9,4,5
20.02.2008,3,3,1,2
17.04.2008,2,2,2,0
17.04.2008,4,4,3,1
28.01.2008,18,0,0,0
25.03.2008,3,3,2,1
12.03.2008,7,7,4,3
13.03.2008,3,3,0,3
20.03.2008,7,6,2,4
20.03.2008,7,7,1,6
11.01.2008,13,13,5,8
11.04.2007,2,2,0,2
12.04.2007,5,5,1,4
12.04.2007,8,8,7,1
12.04.2007,8,8,4,4
09.05.2007,9,9,4,5
29.05.2007,8,8,3,5
29.05.2007,5,5,3,2
30.05.2007,4,4,4,0
30.05.2007,5,5,3,2
30.05.2007,6,6,3,3
30.05.2007,3,3,1,2
06.06.2007,10,10,2,8
08.06.2007,6,6,4,2
06.06.2007,9,9,4,5
06.06.2007,5,5,3,2
06.06.2007,4,4,2,2
06.06.2007,6,6,2,4
14.02.2007,10,10,6,4
13.02.2007,7,7,5,2
13.02.2007,11,11,3,8
14.02.2007,6,6,1,5
14.02.2007,8,7,5,2
14.02.2007,4,4,1,3
20.02.2007,5,5,4,1
20.02.2007,5,5,0,0
20.02.2007,9,9,5,4
21.02.2007,2,2,1,1
21.02.2007,7,10,5,5
21.02.2007,11,11,6,5
20.02.2007,2,2,0,2
20.02.2007,5,5,0,0
20.02.2007,7,7,4,3
28.02.2007,6,6,2,4
27.02.2007,11,11,6,5
28.02.2007,4,4,3,1
26.02.2007,11,11,3,8
21.02.2007,4,4,2,2
21.02.2007,7,7,2,5
20.02.2007,5,5,3,2
05.03.2007,6,6,3,3
27.02.2007,11,10,6,4
12.03.2007,9,9,6,3
06.03.2007,8,8,4,4
15.02.2007,9,5,4,1
14.02.2007,6,6,3,3
10.06.2007,15,15,5,2
16.05.2007,14,14,7,0
25.04.2007,10,10,2,2
04.04.2007,18,18,5,0
12.03.2007,17,17,10,0
10.03.2007,14,14,8,0
10.01.2007,16,16,6,10
20.12.2006,10,10,3,0
26.11.2006,12,12,6,6
10.06.2007,15,15,4,0
22.05.2007,13,13,2,0
01.05.2007,11,11,6,2
21.03.2007,5,5,5,0
17.01.2007,15,15,5,0
20.12.2006,16,16,5,10
25.11.2006,13,13,9,4
01.05.2007,16,14,6,0
17.01.2007,16,16,5,0
20.12.2006,13,16,11,5
25.11.2006,13,13,6,7
22.06.2007,15,15,11,0
24.05.2007,13,13,4,0
01.05.2007,16,16,7,2
04.04.2007,18,18,5,0
10.03.2007,15,15,5,0
17.01.2007,14,14,7,0
22.12.2006,12,12,6,6
25.11.2006,10,10,4,6
14.05.2007,4,4,2,0
19.04.2007,14,14,2,2
07.03.2007,17,17,5,0
17.01.2007,14,12,5,0
20.12.2006,14,13,9,4
26.11.2006,17,17,2,0
10.06.2007,4,4,1,0
